Agent,ELO,Wins,Losses,Draws,Win%
NEAT-_gen19,NEAT-_gen18,0,0,0
NEAT-_gen19,NEAT-_gen26,0,0,0
NEAT-_gen19,NEAT-_gen23,0,0,0
NEAT-_gen19,NEAT-_gen24,0,0,0
NEAT-_gen19,NEAT-_gen25,0,0,0
NEAT-_gen19,NEAT-_gen27,0,0,0
NEAT-_gen19,NEAT-_gen30,0,0,0
NEAT-_gen19,NEAT-_gen14,0,0,0
NEAT-_gen19,NEAT-_gen16,0,0,0
NEAT-_gen19,NEAT-_gen03,0,0,0
NEAT-_gen19,NEAT-_gen22,0,0,0
NEAT-_gen19,NEAT-_gen01,0,0,0
NEAT-_gen19,NEAT-_gen04,0,0,0
NEAT-_gen19,NEAT-_gen15,0,0,0
NEAT-_gen19,NEAT-_gen09,0,0,0
NEAT-_gen19,AlphaGo-128_g1000_e10_20250509-072804,0,0,0
NEAT-_gen19,AlphaGo-128_g20_e6_20250325-192146,0,0,0
NEAT-_gen19,AlphaGo-64_g100_e5_20250509-080406,0,0,0
NEAT-_gen19,AlphaGo-64_g10_e3_20250325-192621,0,0,0
NEAT-_gen19,AlphaGo-128_g20_e6_20250325-192621,0,0,0
NEAT-_gen19,AlphaGo-128_g20_e6_20250325-192808,0,0,0
NEAT-_gen19,AlphaGo-256_g2000_e20_20250509-080407,0,0,0
NEAT-_gen19,AlphaGo-64_g100_e5_20250509-072802,0,0,0
NEAT-_gen19,AlphaGo-64_g10_e3_20250325-192146,0,0,0
NEAT-_gen19,AlphaGo-64_g10_e3_20250325-192808,0,0,0
NEAT-_gen28,NEAT-_gen29,16,4,0
NEAT-_gen28,NEAT-_gen06,0,0,0
NEAT-_gen28,NEAT-_gen07,13,7,0
NEAT-_gen28,NEAT-_gen08,8,12,0
NEAT-_gen28,NEAT-_gen10,7,13,0
NEAT-_gen28,NEAT-_gen20,8,12,0
NEAT-_gen28,NEAT-_gen21,10,10,0
NEAT-_gen28,NEAT-_gen02,6,14,0
NEAT-_gen28,NEAT-_gen05,0,0,0
NEAT-_gen28,NEAT-_gen12,0,0,0
NEAT-_gen28,NEAT-_gen17,0,0,0
NEAT-_gen28,NEAT-_gen18,0,0,0
NEAT-_gen28,NEAT-_gen26,0,0,0
NEAT-_gen28,NEAT-_gen23,0,0,0
NEAT-_gen28,NEAT-_gen24,0,0,0
NEAT-_gen28,NEAT-_gen25,0,0,0
NEAT-_gen28,NEAT-_gen27,0,0,0
NEAT-_gen28,NEAT-_gen30,0,0,0
NEAT-_gen28,NEAT-_gen14,0,0,0
NEAT-_gen28,NEAT-_gen16,0,0,0
NEAT-_gen28,NEAT-_gen03,0,0,0
NEAT-_gen28,NEAT-_gen22,0,0,0
NEAT-_gen28,NEAT-_gen01,0,0,0
NEAT-_gen28,NEAT-_gen04,0,0,0
